"name","actual_distance","number","percent"
"annotate",NA,389199,27.2292234963896
"annotate","-1",NA,NA
"annotate","0",1042149,72.9110507414945
"annotate","1",271661,19.0060048567769
"annotate","2",52334,3.66140247652243
"annotate","3",21509,1.50481724820424
"annotate","4",4547,0.318118184368622
"annotate","5",1100,0.0769584347493919
"annotate","6",568,0.0397385372160496
"annotate","7",601,0.0420472902585314
"annotate","8",503,0.0351909933444946
"annotate","9",385,0.0269354521622871
"annotate","10",1130,0.079057301151648
"annotate","11",679,0.0475043429043973
"annotate","12",1854,0.12970994365943
"annotate","13",895,0.0626161810006415
"annotate","14",13400,0.93749365967441
"annotate","15",944,0.0660443294576599
"annotate","16",2133,0.149229401200412
"annotate","17",631,0.0441461566607875
"annotate","18",2473,0.173016553759315
"annotate","19",878,0.0614268233726964
"annotate","20",1341,0.0938193281808495
"annotate",">20",7627,0.53360180166692
"Biobase",NA,200809,30.6067423265569
"Biobase","-1",252,0.0384091303989977
"Biobase","0",473414,72.1564288044091
"Biobase","1",121425,18.5072565821361
"Biobase","2",33397,5.09027669815606
"Biobase","3",10795,1.64534350260786
"Biobase","4",4677,0.712855170143303
"Biobase","5",1297,0.19768508780754
"Biobase","6",452,0.0688925672235991
"Biobase","7",485,0.0739223342996583
"Biobase","8",1170,0.178328105423918
"Biobase","9",320,0.0487734989193622
"Biobase","10",354,0.0539556831795444
"Biobase","11",444,0.067673229750615
"Biobase","12",261,0.0397808850561048
"Biobase","13",292,0.044505817763918
"Biobase","14",299,0.045572738052779
"Biobase","15",335,0.0510597566812073
"Biobase","16",386,0.0588330330714806
"Biobase","17",111,0.0169183074376538
"Biobase","18",66,0.0100595341521184
"Biobase","19",76,0.0115837059933485
"Biobase","20",79,0.0120409575457175
"Biobase",">20",5704,0.869387618237631
"Biostrings",NA,283423,27.6791896534718
"Biostrings","-1",NA,NA
"Biostrings","0",759673,74.1899318037769
"Biostrings","1",202315,19.7581539068535
"Biostrings","2",29609,2.89162533192312
"Biostrings","3",14471,1.41324293891247
"Biostrings","4",2199,0.214755111786921
"Biostrings","5",834,0.0814487327104556
"Biostrings","6",365,0.0356460281046958
"Biostrings","7",549,0.0536155326835014
"Biostrings","8",1258,0.122856721522486
"Biostrings","9",345,0.0336928210852604
"Biostrings","10",2275,0.222177298460775
"Biostrings","11",1067,0.104203594486878
"Biostrings","12",116,0.0113286007127252
"Biostrings","13",542,0.052931910226699
"Biostrings","14",3636,0.355093036133353
"Biostrings","15",462,0.0451190821489574
"Biostrings","16",834,0.0814487327104556
"Biostrings","17",233,0.0227548617764223
"Biostrings","18",606,0.0591821726888922
"Biostrings","19",50,0.00488301754858847
"Biostrings","20",38,0.00371109333692723
"Biostrings",">20",2478,0.242002349708044
"caschrono",NA,186331,27.1805756130293
"caschrono","-1",NA,NA
"caschrono","0",505025,73.6692777850714
"caschrono","1",136962,19.9789943547328
"caschrono","2",18604,2.71381267048853
"caschrono","3",11671,1.70247837439645
"caschrono","4",808,0.117865009554651
"caschrono","5",282,0.0411360553148659
"caschrono","6",263,0.0383644771198926
"caschrono","7",131,0.0191093022916576
"caschrono","8",70,0.0102110775604277
"caschrono","9",56,0.00816886204834216
"caschrono","10",38,0.00554315638994646
"caschrono","11",68,0.00991933248727262
"caschrono","12",18,0.00262570565839569
"caschrono","13",12,0.00175047043893046
"caschrono","14",72,0.0105028226335828
"caschrono","15",14,0.00204221551208554
"caschrono","16",218,0.0318002129739034
"caschrono","17",257,0.0374892419004274
"caschrono","18",80,0.0116698029262031
"caschrono","19",171,0.0249442037547591
"caschrono","20",468,0.068268347118288
"caschrono",">20",10240,1.49373477455399
"colorspace",NA,399981,30.7439308597641
"colorspace","-1",46,0.00353571999557266
"colorspace","0",947749,72.8472845670434
"colorspace","1",195628,15.0366485063889
"colorspace","2",96504,7.41763309679879
"colorspace","3",17008,1.30729403662391
"colorspace","4",11552,0.887926899757726
"colorspace","5",1922,0.147731605032406
"colorspace","6",1739,0.13366558852828
"colorspace","7",292,0.02244413562407
"colorspace","8",476,0.0365870156063606
"colorspace","9",427,0.0328207051762941
"colorspace","10",144,0.0110683408557057
"colorspace","11",246,0.0189084156284973
"colorspace","12",2124,0.16325802762166
"colorspace","13",136,0.0104534330303887
"colorspace","14",808,0.0621056903570155
"colorspace","15",129,0.00991538868323638
"colorspace","16",434,0.0333587495234464
"colorspace","17",5103,0.392234329074072
"colorspace","18",480,0.0368944695190191
"colorspace","19",210,0.0161413304145709
"colorspace","20",52,0.0039969008645604
"colorspace",">20",17798,1.36801618437396
"copula",NA,164144,11.9397079083544
"copula","-1",38,0.00276409067963171
"copula","0",981952,71.4264308169925
"copula","1",200201,14.5624662671828
"copula","2",82851,6.02651781310965
"copula","3",28941,2.10514600945319
"copula","4",785,0.0571002943029182
"copula","5",13541,0.984961891918235
"copula","6",19022,1.3836456028409
"copula","7",14376,1.04569914764172
"copula","8",6,0.000436435370468164
"copula","9",2153,0.15660755876966
"copula","10",20535,1.49370005542729
"copula","11",57,0.00414613601944756
"copula","12",84,0.0061100951865543
"copula","13",152,0.0110563627185268
"copula","14",168,0.0122201903731086
"copula","15",782,0.0568820766176841
"copula","16",530,0.0385517910580212
"copula","17",514,0.0373879634034394
"copula","18",372,0.0270589929690262
"copula","19",254,0.0184757640164856
"copula","20",4806,0.349584731745
"copula",">20",2647,0.192540737604872
"dplyr",NA,128730,12.4179923425757
"dplyr","-1",96,0.00926067944447499
"dplyr","0",626135,60.4003700413161
"dplyr","1",137668,13.2802001850207
"dplyr","2",126369,12.1902375074881
"dplyr","3",42599,4.1093300380749
"dplyr","4",15302,1.47611371728496
"dplyr","5",18077,1.74380523247682
"dplyr","6",25758,2.4847560534457
"dplyr","7",5744,0.55409732009442
"dplyr","8",11610,1.11996342031619
"dplyr","9",4071,0.392710687692268
"dplyr","10",2617,0.252449980272823
"dplyr","11",1919,0.18511712347862
"dplyr","12",1420,0.136980883449526
"dplyr","13",296,0.0285537616204646
"dplyr","14",354,0.0341487554515015
"dplyr","15",2184,0.210680457361806
"dplyr","16",394,0.0380073718866994
"dplyr","17",193,0.0186178242998299
"dplyr","18",1882,0.181547903276062
"dplyr","19",223,0.0215117866262284
"dplyr","20",299,0.0288431578531044
"dplyr",">20",11426,1.10221378471428
"ggplot2",NA,53845,25.3845754937134
"ggplot2","-1",361,0.170189093754862
"ggplot2","0",154876,73.0144212863655
"ggplot2","1",26762,12.616621958636
"ggplot2","2",10125,4.77330906999439
"ggplot2","3",9990,4.70966494906113
"ggplot2","4",2228,1.05036371436519
"ggplot2","5",548,0.258347987195746
"ggplot2","6",1976,0.931561355289769
"ggplot2","7",370,0.174432035150412
"ggplot2","8",475,0.223933018098502
"ggplot2","9",184,0.0867445796423672
"ggplot2","10",106,0.0499724208809289
"ggplot2","11",381,0.179617852411641
"ggplot2","12",160,0.0754300692542323
"ggplot2","13",26,0.0122573862538128
"ggplot2","14",101,0.0476152312167342
"ggplot2","15",153,0.0721300037243597
"ggplot2","16",267,0.125873928068
"ggplot2","17",294,0.138602752254652
"ggplot2","18",62,0.029229151836015
"ggplot2","19",10,0.00471437932838952
"ggplot2","20",73,0.0344149690972435
"ggplot2",">20",2587,1.21960993225437
"grid",NA,630475,59.4233865039001
"grid","-1",NA,NA
"grid","0",678083,63.9105249069735
"grid","1",297780,28.06629292697
"grid","2",42206,3.97799032599803
"grid","3",14399,1.35713127763933
"grid","4",12860,1.2120777991834
"grid","5",979,0.092272485645455
"grid","6",8893,0.838181016184914
"grid","7",520,0.0490109218954409
"grid","8",923,0.0869943863644075
"grid","9",927,0.0873713934559109
"grid","10",372,0.0350616595098154
"grid","11",126,0.0118757233823568
"grid","12",368,0.034684652418312
"grid","13",185,0.0174365779820318
"grid","14",531,0.0500476913970752
"grid","15",220,0.0207353900326865
"grid","16",77,0.00725738651144028
"grid","17",21,0.0019792872303928
"grid","18",19,0.00179078368464111
"grid","19",35,0.00329881205065467
"grid","20",37,0.00348731559640637
"grid",">20",1414,0.133272006846449
"lmtest",NA,26155,26.2521328916993
"lmtest","-1",NA,NA
"lmtest","0",76022,76.304326006223
"lmtest","1",16230,16.2902740138512
"lmtest","2",4210,4.22563484894108
"lmtest","3",493,0.494830874234668
"lmtest","4",564,0.566094549834387
"lmtest","5",132,0.132490213791027
"lmtest","6",131,0.131486500050186
"lmtest","7",78,0.0782896717856068
"lmtest","8",27,0.02710027100271
"lmtest","9",93,0.0933453778982234
"lmtest","10",77,0.0772859580447656
"lmtest","11",136,0.136505068754391
"lmtest","12",15,0.0150557061126167
"lmtest","13",84,0.0843119542306534
"lmtest","14",72,0.0722673893405601
"lmtest","15",83,0.0833082404898123
"lmtest","16",81,0.0813008130081301
"lmtest","17",21,0.0210779885576634
"lmtest","18",78,0.0782896717856068
"lmtest","19",118,0.118438221419251
"lmtest","20",39,0.0391448358928034
"lmtest",">20",845,0.84813811101074
"mvtnorm",NA,51505,29.4819690898683
"mvtnorm","-1",NA,NA
"mvtnorm","0",129000,73.8408700629651
"mvtnorm","1",26095,14.9370349170006
"mvtnorm","2",11904,6.81396680022896
"mvtnorm","3",1360,0.778477389811105
"mvtnorm","4",1830,1.0475100171723
"mvtnorm","5",276,0.157985117344018
"mvtnorm","6",82,0.046937607326846
"mvtnorm","7",43,0.0246136233543217
"mvtnorm","8",16,0.00915855752718947
"mvtnorm","9",64,0.0366342301087579
"mvtnorm","10",61,0.0349170005724098
"mvtnorm","11",43,0.0246136233543217
"mvtnorm","12",18,0.0103033772180882
"mvtnorm","13",91,0.0520892959358901
"mvtnorm","14",33,0.0188895248998283
"mvtnorm","15",44,0.025186033199771
"mvtnorm","16",64,0.0366342301087579
"mvtnorm","17",164,0.093875214653692
"mvtnorm","18",139,0.0795649685174585
"mvtnorm","19",152,0.0870062965082999
"mvtnorm","20",62,0.0354894104178592
"mvtnorm",">20",3158,1.80767029192902
"rivr",NA,14731,14.5128715407426
"rivr","-1",33,0.0325113543442066
"rivr","0",75478,74.3603637330916
"rivr","1",21045,20.7333773386008
"rivr","2",1850,1.82260622838734
"rivr","3",502,0.494566663054294
"rivr","4",121,0.119208299262091
"rivr","5",88,0.0866969449178842
"rivr","6",169,0.166497541944573
"rivr","7",69,0.0679782863560683
"rivr","8",27,0.0266001990088963
"rivr","9",1263,1.24429819808282
"rivr","10",21,0.020689043673586
"rivr","11",21,0.020689043673586
"rivr","12",18,0.0177334660059309
"rivr","13",18,0.0177334660059309
"rivr","14",66,0.0650227086884131
"rivr","15",32,0.0315261617883215
"rivr","16",156,0.153690038718067
"rivr","17",62,0.061081938464873
"rivr","18",30,0.0295557766765514
"rivr","19",95,0.0935932928090795
"rivr","20",79,0.0778302119149188
"rivr",">20",257,0.253194486862457
"stringr",NA,17493,31.0027647809443
"stringr","-1",NA,NA
"stringr","0",41774,74.0358712604565
"stringr","1",7280,12.9023110733021
"stringr","2",4598,8.14901460371473
"stringr","3",554,0.981851694314476
"stringr","4",697,1.23528994754005
"stringr","5",200,0.354459095420389
"stringr","6",64,0.113426910534524
"stringr","7",50,0.0886147738550971
"stringr","8",44,0.0779810009924855
"stringr","9",12,0.0212675457252233
"stringr","10",16,0.0283567276336311
"stringr","11",8,0.0141783638168155
"stringr","12",7,0.0124060683397136
"stringr","13",5,0.00886147738550971
"stringr","14",9,0.0159506592939175
"stringr","15",6,0.0106337728626117
"stringr","16",12,0.0212675457252233
"stringr","17",10,0.0177229547710194
"stringr","18",2,0.00354459095420388
"stringr","19",9,0.0159506592939175
"stringr","20",2,0.00354459095420388
"stringr",">20",1063,1.88395009215936
"tm",NA,39188,14.9717093223609
"tm","-1",21,0.0080230145904251
"tm","0",185840,70.9998586421239
"tm","1",49966,19.0894260488181
"tm","2",13467,5.14504464234547
"tm","3",6386,2.43976053211689
"tm","4",758,0.289592621882963
"tm","5",665,0.254062128696795
"tm","6",2678,1.02312538443612
"tm","7",113,0.0431714594627637
"tm","8",173,0.0660943582925497
"tm","9",446,0.170393547968076
"tm","10",81,0.0309459134202111
"tm","11",120,0.045845797659572
"tm","12",176,0.067240503234039
"tm","13",159,0.0607456818989329
"tm","14",77,0.0294177201648921
"tm","15",185,0.0706789380585069
"tm","16",325,0.124165701994674
"tm","17",44,0.0168101258085097
"tm","18",6,0.0022922898829786
"tm","19",26,0.00993325615957394
"tm","20",2,0.000764096627659534
"tm",">20",31,0.0118434977287228
