"name","type","strict","number","percent"
"annotate","closure",0,219598,10.0794613956785
"annotate","built-in",0,0,0
"annotate","special",0,0,0
"annotate","primitive",0,0,0
"annotate","closure",1,634769,29.1356461838151
"annotate","built-in",1,0,0
"annotate","special",1,0,0
"annotate","primitive",1,0,0
"annotate","closure",NA,20076,0.921480464210242
"annotate","built-in",NA,371230,17.0393102574601
"annotate","special",NA,370693,17.0146621697294
"annotate","primitive",NA,562302,25.8094395291068
"Biobase","closure",0,101565,9.64201188768502
"Biobase","built-in",0,0,0
"Biobase","special",0,0,0
"Biobase","primitive",0,0,0
"Biobase","closure",1,279666,26.5499226759348
"Biobase","built-in",1,0,0
"Biobase","special",1,0,0
"Biobase","primitive",1,0,0
"Biobase","closure",NA,12584,1.19465443405335
"Biobase","built-in",NA,210178,19.9531213954597
"Biobase","special",NA,141168,13.4016987560746
"Biobase","primitive",NA,308198,29.2585908507926
"Biostrings","closure",0,159433,11.0214278850774
"Biostrings","built-in",0,0,0
"Biostrings","special",0,0,0
"Biostrings","primitive",0,0,0
"Biostrings","closure",1,459618,31.7728866776858
"Biostrings","built-in",1,0,0
"Biostrings","special",1,0,0
"Biostrings","primitive",1,0,0
"Biostrings","closure",NA,15849,1.09562393325466
"Biostrings","built-in",NA,244616,16.9100349584846
"Biostrings","special",NA,192174,13.2847771940994
"Biostrings","primitive",NA,374883,25.9152493513981
"caschrono","closure",0,103185,10.7505652160323
"caschrono","built-in",0,0,0
"caschrono","special",0,0,0
"caschrono","primitive",0,0,0
"caschrono","closure",1,306790,31.9636177993561
"caschrono","built-in",1,0,0
"caschrono","special",1,0,0
"caschrono","primitive",1,0,0
"caschrono","closure",NA,5908,0.615538491993207
"caschrono","built-in",NA,139715,14.5565268125983
"caschrono","special",NA,131251,13.6746856148613
"caschrono","primitive",NA,272961,28.4390660651587
"colorspace","closure",0,165949,7.51280171924
"colorspace","built-in",0,0,0
"colorspace","special",0,0,0
"colorspace","primitive",0,0,0
"colorspace","closure",1,550943,24.9421540208332
"colorspace","built-in",1,0,0
"colorspace","special",1,0,0
"colorspace","primitive",1,0,0
"colorspace","closure",NA,28024,1.2686955352547
"colorspace","built-in",NA,559067,25.3099417216756
"colorspace","special",NA,264293,11.9650067477544
"colorspace","primitive",NA,640607,29.0014002552421
"copula","closure",0,84939,3.94419918672571
"copula","built-in",0,0,0
"copula","special",0,0,0
"copula","primitive",0,0,0
"copula","closure",1,667346,30.988657159428
"copula","built-in",1,0,0
"copula","special",1,0,0
"copula","primitive",1,0,0
"copula","closure",NA,16451,0.763913170873506
"copula","built-in",NA,378191,17.5615516385522
"copula","special",NA,308245,14.3135624190568
"copula","primitive",NA,698345,32.4281164253637
"dplyr","closure",0,67060,3.81941774668022
"dplyr","built-in",0,0,0
"dplyr","special",0,0,0
"dplyr","primitive",0,0,0
"dplyr","closure",1,466490,26.5690454018619
"dplyr","built-in",1,0,0
"dplyr","special",1,0,0
"dplyr","primitive",1,0,0
"dplyr","closure",NA,14725,0.838665766774027
"dplyr","built-in",NA,337501,19.2224471953821
"dplyr","special",NA,397646,22.648019524253
"dplyr","primitive",NA,472343,26.9024043650489
"ggplot2","closure",0,23938,6.03039127762271
"ggplot2","built-in",0,0,0
"ggplot2","special",0,0,0
"ggplot2","primitive",0,0,0
"ggplot2","closure",1,87883,22.1392295367749
"ggplot2","built-in",1,0,0
"ggplot2","special",1,0,0
"ggplot2","primitive",1,0,0
"ggplot2","closure",NA,5709,1.43819466137305
"ggplot2","built-in",NA,89387,22.5181128387025
"ggplot2","special",NA,84446,21.2733905017181
"ggplot2","primitive",NA,105593,26.6006811838088
"grid","closure",0,87301,4.4611019868795
"grid","built-in",0,0,0
"grid","special",0,0,0
"grid","primitive",0,0,0
"grid","closure",1,646498,33.0362024755
"grid","built-in",1,0,0
"grid","special",1,0,0
"grid","primitive",1,0,0
"grid","closure",NA,42858,2.19005405383308
"grid","built-in",NA,317773,16.2382763276098
"grid","special",NA,139167,7.11146699588847
"grid","primitive",NA,723341,36.9628981602892
"lmtest","closure",0,10911,6.27660553625256
"lmtest","built-in",0,0,0
"lmtest","special",0,0,0
"lmtest","primitive",0,0,0
"lmtest","closure",1,45731,26.3069789916933
"lmtest","built-in",1,0,0
"lmtest","special",1,0,0
"lmtest","primitive",1,0,0
"lmtest","closure",NA,2047,1.17754665316735
"lmtest","built-in",NA,39751,22.8669550610921
"lmtest","special",NA,20516,11.8019282542166
"lmtest","primitive",NA,54880,31.5699855035781
"mvtnorm","closure",0,20667,6.52143044217741
"mvtnorm","built-in",0,0,0
"mvtnorm","special",0,0,0
"mvtnorm","primitive",0,0,0
"mvtnorm","closure",1,74884,23.6294961645141
"mvtnorm","built-in",1,0,0
"mvtnorm","special",1,0,0
"mvtnorm","primitive",1,0,0
"mvtnorm","closure",NA,3408,1.07538757182661
"mvtnorm","built-in",NA,83296,26.2838859104664
"mvtnorm","special",NA,36185,11.4181042507471
"mvtnorm","primitive",NA,98469,31.0716956602684
"rivr","closure",0,7231,5.17457295997596
"rivr","built-in",0,0,0
"rivr","special",0,0,0
"rivr","primitive",0,0,0
"rivr","closure",1,52273,37.407060204235
"rivr","built-in",1,0,0
"rivr","special",1,0,0
"rivr","primitive",1,0,0
"rivr","closure",NA,1304,0.933154908008387
"rivr","built-in",NA,34365,24.5919236301443
"rivr","special",NA,10673,7.63770117574656
"rivr","primitive",NA,33895,24.2555871218898
"stringr","closure",0,7238,7.4143882975999
"stringr","built-in",0,0,0
"stringr","special",0,0,0
"stringr","primitive",0,0,0
"stringr","closure",1,22397,22.9428094364942
"stringr","built-in",1,0,0
"stringr","special",1,0,0
"stringr","primitive",1,0,0
"stringr","closure",NA,1443,1.47816555864005
"stringr","built-in",NA,27927,28.6075741899796
"stringr","special",NA,13011,13.3280749019166
"stringr","primitive",NA,25605,26.2289876153696
"tm","closure",0,19921,5.29671550992951
"tm","built-in",0,0,0
"tm","special",0,0,0
"tm","primitive",0,0,0
"tm","closure",1,129450,34.4189459746185
"tm","built-in",1,0,0
"tm","special",1,0,0
"tm","primitive",1,0,0
"tm","closure",NA,2121,0.563944259653657
"tm","built-in",NA,82105,21.8305721069606
"tm","special",NA,35348,9.39853922217702
"tm","primitive",NA,107156,28.4912829266607
