"name","number","strictness_rate","percent"
"annotate",160,"0",12.779552715655
"annotate",10,"(0,10〉",0.798722044728435
"annotate",9,"(10,20〉",0.718849840255591
"annotate",9,"(20,30〉",0.718849840255591
"annotate",6,"(30,40〉",0.479233226837061
"annotate",10,"(40,50〉",0.798722044728435
"annotate",2,"(50,60〉",0.159744408945687
"annotate",3,"(60,70〉",0.23961661341853
"annotate",8,"(70,80〉",0.638977635782748
"annotate",6,"(80,90〉",0.479233226837061
"annotate",12,"(90,100)",0.958466453674121
"annotate",603,"100",48.1629392971246
"annotate",431,NA,34.4249201277955
"Biobase",222,"0",15.1432469304229
"Biobase",19,"(0,10〉",1.29604365620737
"Biobase",14,"(10,20〉",0.954979536152797
"Biobase",6,"(20,30〉",0.409276944065484
"Biobase",12,"(30,40〉",0.818553888130969
"Biobase",16,"(40,50〉",1.09140518417462
"Biobase",3,"(50,60〉",0.204638472032742
"Biobase",7,"(60,70〉",0.477489768076398
"Biobase",10,"(70,80〉",0.682128240109141
"Biobase",5,"(80,90〉",0.34106412005457
"Biobase",20,"(90,100)",1.36425648021828
"Biobase",611,"100",41.6780354706685
"Biobase",540,NA,36.8349249658936
"Biostrings",151,"0",13.6775362318841
"Biostrings",14,"(0,10〉",1.26811594202899
"Biostrings",9,"(10,20〉",0.815217391304348
"Biostrings",8,"(20,30〉",0.72463768115942
"Biostrings",3,"(30,40〉",0.271739130434783
"Biostrings",7,"(40,50〉",0.634057971014493
"Biostrings",2,"(50,60〉",0.181159420289855
"Biostrings",6,"(60,70〉",0.543478260869565
"Biostrings",6,"(70,80〉",0.543478260869565
"Biostrings",7,"(80,90〉",0.634057971014493
"Biostrings",13,"(90,100)",1.17753623188406
"Biostrings",488,"100",44.2028985507246
"Biostrings",406,NA,36.7753623188406
"caschrono",150,"0",12.7442650807137
"caschrono",9,"(0,10〉",0.764655904842821
"caschrono",6,"(10,20〉",0.509770603228547
"caschrono",1,"(20,30〉",0.0849617672047579
"caschrono",3,"(30,40〉",0.254885301614274
"caschrono",8,"(40,50〉",0.679694137638063
"caschrono",0,"(50,60〉",0
"caschrono",4,"(60,70〉",0.339847068819031
"caschrono",10,"(70,80〉",0.849617672047579
"caschrono",12,"(80,90〉",1.01954120645709
"caschrono",5,"(90,100)",0.424808836023789
"caschrono",494,"100",41.9711129991504
"caschrono",491,NA,41.7162276975361
"colorspace",194,"0",11.9753086419753
"colorspace",18,"(0,10〉",1.11111111111111
"colorspace",10,"(10,20〉",0.617283950617284
"colorspace",1,"(20,30〉",0.0617283950617284
"colorspace",6,"(30,40〉",0.37037037037037
"colorspace",15,"(40,50〉",0.925925925925926
"colorspace",2,"(50,60〉",0.123456790123457
"colorspace",8,"(60,70〉",0.493827160493827
"colorspace",9,"(70,80〉",0.555555555555556
"colorspace",4,"(80,90〉",0.246913580246914
"colorspace",12,"(90,100)",0.740740740740741
"colorspace",726,"100",44.8148148148148
"colorspace",633,NA,39.0740740740741
"copula",147,"0",12.4470787468247
"copula",11,"(0,10〉",0.931414055884843
"copula",4,"(10,20〉",0.338696020321761
"copula",3,"(20,30〉",0.254022015241321
"copula",4,"(30,40〉",0.338696020321761
"copula",6,"(40,50〉",0.508044030482642
"copula",1,"(50,60〉",0.0846740050804403
"copula",7,"(60,70〉",0.592718035563082
"copula",4,"(70,80〉",0.338696020321761
"copula",8,"(80,90〉",0.677392040643522
"copula",14,"(90,100)",1.18543607112616
"copula",445,"100",37.6799322607959
"copula",541,NA,45.8086367485182
"dplyr",258,"0",17.4206617150574
"dplyr",7,"(0,10〉",0.472653612424038
"dplyr",6,"(10,20〉",0.405131667792032
"dplyr",5,"(20,30〉",0.337609723160027
"dplyr",8,"(30,40〉",0.540175557056043
"dplyr",5,"(40,50〉",0.337609723160027
"dplyr",4,"(50,60〉",0.270087778528022
"dplyr",5,"(60,70〉",0.337609723160027
"dplyr",11,"(70,80〉",0.742741390952059
"dplyr",8,"(80,90〉",0.540175557056043
"dplyr",15,"(90,100)",1.01282916948008
"dplyr",704,"100",47.5354490209318
"dplyr",460,NA,31.0600945307225
"ggplot2",124,"0",12.6530612244898
"ggplot2",8,"(0,10〉",0.816326530612245
"ggplot2",5,"(10,20〉",0.510204081632653
"ggplot2",4,"(20,30〉",0.408163265306122
"ggplot2",0,"(30,40〉",0
"ggplot2",4,"(40,50〉",0.408163265306122
"ggplot2",4,"(50,60〉",0.408163265306122
"ggplot2",5,"(60,70〉",0.510204081632653
"ggplot2",11,"(70,80〉",1.12244897959184
"ggplot2",4,"(80,90〉",0.408163265306122
"ggplot2",4,"(90,100)",0.408163265306122
"ggplot2",425,"100",43.3673469387755
"ggplot2",395,NA,40.3061224489796
"grid",141,"0",12.0512820512821
"grid",14,"(0,10〉",1.1965811965812
"grid",6,"(10,20〉",0.512820512820513
"grid",6,"(20,30〉",0.512820512820513
"grid",8,"(30,40〉",0.683760683760684
"grid",11,"(40,50〉",0.94017094017094
"grid",3,"(50,60〉",0.256410256410256
"grid",3,"(60,70〉",0.256410256410256
"grid",4,"(70,80〉",0.341880341880342
"grid",7,"(80,90〉",0.598290598290598
"grid",12,"(90,100)",1.02564102564103
"grid",525,"100",44.8717948717949
"grid",452,NA,38.6324786324786
"lmtest",108,"0",11.0429447852761
"lmtest",3,"(0,10〉",0.306748466257669
"lmtest",4,"(10,20〉",0.408997955010225
"lmtest",5,"(20,30〉",0.511247443762781
"lmtest",6,"(30,40〉",0.613496932515337
"lmtest",5,"(40,50〉",0.511247443762781
"lmtest",2,"(50,60〉",0.204498977505112
"lmtest",3,"(60,70〉",0.306748466257669
"lmtest",9,"(70,80〉",0.920245398773006
"lmtest",3,"(80,90〉",0.306748466257669
"lmtest",4,"(90,100)",0.408997955010225
"lmtest",414,"100",42.3312883435583
"lmtest",425,NA,43.4560327198364
"mvtnorm",90,"0",10.3448275862069
"mvtnorm",3,"(0,10〉",0.344827586206897
"mvtnorm",5,"(10,20〉",0.574712643678161
"mvtnorm",4,"(20,30〉",0.459770114942529
"mvtnorm",2,"(30,40〉",0.229885057471264
"mvtnorm",1,"(40,50〉",0.114942528735632
"mvtnorm",1,"(50,60〉",0.114942528735632
"mvtnorm",3,"(60,70〉",0.344827586206897
"mvtnorm",6,"(70,80〉",0.689655172413793
"mvtnorm",3,"(80,90〉",0.344827586206897
"mvtnorm",6,"(90,100)",0.689655172413793
"mvtnorm",349,"100",40.1149425287356
"mvtnorm",405,NA,46.551724137931
"rivr",139,"0",15.5480984340045
"rivr",6,"(0,10〉",0.671140939597315
"rivr",2,"(10,20〉",0.223713646532438
"rivr",1,"(20,30〉",0.111856823266219
"rivr",1,"(30,40〉",0.111856823266219
"rivr",3,"(40,50〉",0.335570469798658
"rivr",2,"(50,60〉",0.223713646532438
"rivr",4,"(60,70〉",0.447427293064877
"rivr",5,"(70,80〉",0.559284116331096
"rivr",5,"(80,90〉",0.559284116331096
"rivr",6,"(90,100)",0.671140939597315
"rivr",400,"100",44.7427293064877
"rivr",328,NA,36.6890380313199
"stringr",61,"0",8.73925501432665
"stringr",7,"(0,10〉",1.00286532951289
"stringr",6,"(10,20〉",0.859598853868195
"stringr",2,"(20,30〉",0.286532951289398
"stringr",1,"(30,40〉",0.143266475644699
"stringr",2,"(40,50〉",0.286532951289398
"stringr",0,"(50,60〉",0
"stringr",2,"(60,70〉",0.286532951289398
"stringr",1,"(70,80〉",0.143266475644699
"stringr",5,"(80,90〉",0.716332378223496
"stringr",5,"(90,100)",0.716332378223496
"stringr",338,"100",48.4240687679083
"stringr",279,NA,39.9713467048711
"tm",129,"0",13.8858988159311
"tm",2,"(0,10〉",0.215285252960172
"tm",5,"(10,20〉",0.538213132400431
"tm",4,"(20,30〉",0.430570505920344
"tm",4,"(30,40〉",0.430570505920344
"tm",6,"(40,50〉",0.645855758880517
"tm",0,"(50,60〉",0
"tm",0,"(60,70〉",0
"tm",6,"(70,80〉",0.645855758880517
"tm",6,"(80,90〉",0.645855758880517
"tm",7,"(90,100)",0.753498385360603
"tm",418,"100",44.994617868676
"tm",350,NA,37.6749192680301
