"name","number_of_forced_promises","number","percent"
"annotate",NA,389199,21.4314741720337
"annotate",0,1100123,60.5789266173866
"annotate",1,326232,17.9641589060889
"annotate",2,392,0.0215857129012079
"annotate",3,28,0.00154183663580057
"annotate",5,24,0.00132157425925763
"annotate",6,1,5.50655941357345e-05
"annotate",7,2,0.000110131188271469
"annotate",8,1,5.50655941357345e-05
"annotate",12,1,5.50655941357345e-05
"annotate",27,1,5.50655941357345e-05
"annotate",29,1,5.50655941357345e-05
"annotate",37,1,5.50655941357345e-05
"annotate",43,1,5.50655941357345e-05
"annotate",45,1,5.50655941357345e-05
"annotate",71,1,5.50655941357345e-05
"annotate",107,1,5.50655941357345e-05
"annotate",189,1,5.50655941357345e-05
"annotate",193,1,5.50655941357345e-05
"annotate",198,1,5.50655941357345e-05
"annotate",260,1,5.50655941357345e-05
"annotate",348,1,5.50655941357345e-05
"annotate",412,1,5.50655941357345e-05
"Biobase",NA,200809,23.4753677506392
"Biobase",0,502353,58.7270561361136
"Biobase",1,151286,17.6859328293214
"Biobase",2,932,0.108954492794624
"Biobase",3,3,0.000350711886677975
"Biobase",5,11,0.00128594358448591
"Biobase",7,6,0.00070142377335595
"Biobase",24,1,0.000116903962225992
"Biobase",198,1,0.000116903962225992
"Biobase",260,1,0.000116903962225992
"Biostrings",NA,283423,21.7115660245396
"Biostrings",0,787345,60.314416796065
"Biostrings",1,234263,17.9456733984423
"Biostrings",2,317,0.0242837258436297
"Biostrings",3,23,0.00176191070789742
"Biostrings",5,18,0.0013788866409632
"Biostrings",6,2,0.000153209626773689
"Biostrings",7,2,0.000153209626773689
"Biostrings",9,1,7.66048133868443e-05
"Biostrings",27,1,7.66048133868443e-05
"Biostrings",42,1,7.66048133868443e-05
"Biostrings",73,1,7.66048133868443e-05
"Biostrings",260,1,7.66048133868443e-05
"Biostrings",348,1,7.66048133868443e-05
"Biostrings",357,1,7.66048133868443e-05
"Biostrings",412,1,7.66048133868443e-05
"caschrono",NA,186331,21.3946583107806
"caschrono",0,524352,60.2064706064715
"caschrono",1,159938,18.3641952273622
"caschrono",2,253,0.0290496404389366
"caschrono",3,17,0.00195195212435543
"caschrono",4,4,0.000459282852789512
"caschrono",5,6,0.000688924279184268
"caschrono",6,2,0.000229641426394756
"caschrono",7,4,0.000459282852789512
"caschrono",8,3,0.000344462139592134
"caschrono",10,1,0.000114820713197378
"caschrono",14,1,0.000114820713197378
"caschrono",15,1,0.000114820713197378
"caschrono",17,1,0.000114820713197378
"caschrono",18,1,0.000114820713197378
"caschrono",20,1,0.000114820713197378
"caschrono",22,2,0.000229641426394756
"caschrono",24,1,0.000114820713197378
"caschrono",29,1,0.000114820713197378
"caschrono",40,1,0.000114820713197378
"caschrono",53,1,0.000114820713197378
"caschrono",287,1,0.000114820713197378
"colorspace",NA,399981,23.5264811946844
"colorspace",0,1018741,59.9213237097612
"colorspace",1,281262,16.5435487030117
"colorspace",2,104,0.00611717567646258
"colorspace",3,3,0.00017645699066719
"colorspace",4,2,0.000117637993778127
"colorspace",5,3,0.00017645699066719
"colorspace",6,1,5.88189968890633e-05
"colorspace",7,25,0.00147047492222658
"colorspace",14,1,5.88189968890633e-05
"colorspace",15,1,5.88189968890633e-05
"colorspace",17,1,5.88189968890633e-05
"colorspace",18,1,5.88189968890633e-05
"colorspace",22,1,5.88189968890633e-05
"colorspace",29,1,5.88189968890633e-05
"colorspace",40,1,5.88189968890633e-05
"colorspace",78,1,5.88189968890633e-05
"colorspace",350,1,5.88189968890633e-05
"copula",NA,164144,10.6724576808419
"copula",0,1062571,69.0871675503815
"copula",1,311031,20.2228846922819
"copula",2,222,0.0144341895235092
"copula",3,9,0.00058516984554767
"copula",4,14,0.000910264204185265
"copula",5,16,0.0010403019476403
"copula",9,1,6.50188717275189e-05
"copula",15,1,6.50188717275189e-05
"copula",17,1,6.50188717275189e-05
"copula",22,1,6.50188717275189e-05
"copula",27,1,6.50188717275189e-05
"copula",40,1,6.50188717275189e-05
"copula",141,1,6.50188717275189e-05
"copula",287,1,6.50188717275189e-05
"dplyr",NA,128730,11.0617586933153
"dplyr",0,707456,60.7916379875556
"dplyr",1,326176,28.0282778183081
"dplyr",2,1324,0.1137712150233
"dplyr",3,12,0.00103115904854955
"dplyr",4,6,0.000515579524274773
"dplyr",5,17,0.00146080865211186
"dplyr",6,1,8.59299207124622e-05
"dplyr",7,10,0.000859299207124622
"dplyr",8,1,8.59299207124622e-05
"dplyr",9,1,8.59299207124622e-05
"dplyr",12,1,8.59299207124622e-05
"dplyr",15,1,8.59299207124622e-05
"dplyr",18,1,8.59299207124622e-05
"dplyr",33,1,8.59299207124622e-05
"dplyr",40,1,8.59299207124622e-05
"ggplot2",NA,53845,20.3441253480736
"ggplot2",0,170990,64.6047356907255
"ggplot2",1,39546,14.941568966755
"ggplot2",2,80,0.0302262053643958
"ggplot2",3,23,0.00869003404226379
"ggplot2",4,87,0.0328709983337804
"ggplot2",5,17,0.00642306863993411
"ggplot2",6,1,0.000377827567054947
"ggplot2",7,5,0.00188913783527474
"ggplot2",8,1,0.000377827567054947
"ggplot2",9,13,0.00491175837171432
"ggplot2",10,31,0.0117126545787034
"ggplot2",11,27,0.0102013443104836
"ggplot2",15,1,0.000377827567054947
"ggplot2",18,1,0.000377827567054947
"ggplot2",24,1,0.000377827567054947
"ggplot2",40,1,0.000377827567054947
"ggplot2",47,1,0.000377827567054947
"grid",NA,630475,37.2849010565558
"grid",0,764514,45.2116719082465
"grid",1,295879,17.4976315313259
"grid",2,51,0.00301602752509512
"grid",3,4,0.000236551178438833
"grid",4,1,5.91377946097083e-05
"grid",5,3,0.000177413383829125
"grid",6,1,5.91377946097083e-05
"grid",7,31,0.00183327163290096
"grid",8,1,5.91377946097083e-05
"grid",12,1,5.91377946097083e-05
"grid",19,1,5.91377946097083e-05
"grid",40,2,0.000118275589219417
"grid",46,1,5.91377946097083e-05
"grid",61,1,5.91377946097083e-05
"lmtest",NA,26155,20.8283561883829
"lmtest",0,80761,64.3134725341233
"lmtest",1,18593,14.8064089700097
"lmtest",2,48,0.0382244732189784
"lmtest",3,1,0.000796343192062051
"lmtest",4,1,0.000796343192062051
"lmtest",5,8,0.00637074553649641
"lmtest",6,1,0.000796343192062051
"lmtest",7,1,0.000796343192062051
"lmtest",11,1,0.000796343192062051
"lmtest",17,1,0.000796343192062051
"lmtest",22,1,0.000796343192062051
"lmtest",29,1,0.000796343192062051
"lmtest",40,1,0.000796343192062051
"mvtnorm",NA,51505,22.7725924190104
"mvtnorm",0,140463,62.1047791272975
"mvtnorm",1,34191,15.1173227336838
"mvtnorm",2,8,0.0035371466722082
"mvtnorm",3,3,0.00132643000207807
"mvtnorm",20,1,0.000442143334026025
"rivr",NA,14731,12.7002327786878
"rivr",0,79038,68.1420812138978
"rivr",1,22114,19.0654366755755
"rivr",2,92,0.0793171825157341
"rivr",3,2,0.001724286576429
"rivr",5,4,0.003448573152858
"rivr",6,2,0.001724286576429
"rivr",7,1,0.000862143288214501
"rivr",8,1,0.000862143288214501
"rivr",9,1,0.000862143288214501
"rivr",15,1,0.000862143288214501
"rivr",18,1,0.000862143288214501
"rivr",29,1,0.000862143288214501
"rivr",40,1,0.000862143288214501
"stringr",NA,17493,23.669575806779
"stringr",0,45100,61.0242879372167
"stringr",1,11306,15.2980177254584
"stringr",2,5,0.00676544212164265
"stringr",6,1,0.00135308842432853
"tm",NA,39188,13.0385453577548
"tm",0,194614,64.7515429788225
"tm",1,66692,22.1896158772937
"tm",2,46,0.0153050190480944
"tm",3,3,0.000998153416180067
"tm",5,3,0.000998153416180067
"tm",7,1,0.000332717805393356
"tm",8,1,0.000332717805393356
"tm",10,1,0.000332717805393356
"tm",12,1,0.000332717805393356
"tm",21,1,0.000332717805393356
"tm",23,1,0.000332717805393356
"tm",26,1,0.000332717805393356
"tm",27,1,0.000332717805393356
"tm",189,1,0.000332717805393356
